,id,duration,index,match_id,timestamp,start_x,start_y,end_x,end_y
126,533d77a7-93d9-4877-86bd-8523b173eee1,1.393104,415,3939980,00:15:36.956,84.3,75.6,76.8,59.4
127,c2049f78-8364-404f-9f66-cb2c3f95bc7b,1.689947,419,3939980,00:15:39.363,73.1,54.3,62.0,29.3
128,01571da4-5710-48ff-b2a0-ca0cff7a7e1c,1.92914,421,3939980,00:15:41.053,62.0,28.8,70.3,6.7
129,a9a79dfe-62f0-4db8-83bb-64a6304a4397,1.923667,424,3939980,00:15:43.901,68.0,8.9,43.2,19.3
130,cd6a571e-653d-4469-8409-1e7a7acce371,1.673608,427,3939980,00:15:47.542,38.7,22.3,36.9,56.5
131,70116c45-08c2-40b1-93c3-b97e2a8a87ad,1.531194,430,3939980,00:15:49.682,34.9,56.2,53.8,75.6
132,e001eea0-2fb6-4e04-aebb-3ad548007f56,0.864794,433,3939980,00:15:53.647,57.2,75.3,75.2,68.3
133,7f509ee5-2710-42e3-9dbe-a8620840ecd0,1.218645,435,3939980,00:15:54.512,75.2,68.3,73.0,77.1
134,3aee46b6-53ce-47ab-af7d-9e0887a0ca62,0.83646,438,3939980,00:15:56.531,73.0,77.1,76.9,63.9
154,5fb56802-88b4-468c-ac58-a3a8f83c7350,1.714452,511,3939980,00:16:59.638,14.4,54.8,5.6,40.6
155,609edbc4-5e77-4560-8f04-104392ef31ec,1.778798,513,3939980,00:17:01.352,6.5,39.7,19.3,22.5
156,35153306-fdf2-4c51-bfb4-7937a40f05d9,1.805432,523,3939980,00:17:09.713,3.2,21.9,18.2,3.8
167,53ea8285-5429-4abc-9a98-4f6414ceb510,0.990654,567,3939980,00:20:24.313,41.6,17.3,64.6,27.9
168,60d59d2e-ad83-47e6-9016-78f88d6811dd,0.820505,582,3939980,00:21:31.447,120.0,0.1,117.6,28.3
169,f9d4abd0-8071-4682-9121-7fb80b93015f,1.511199,586,3939980,00:21:38.998,76.1,4.2,56.4,24.2
170,858801b9-f3a4-4515-8262-7607d1fb39f7,3.099064,589,3939980,00:21:41.729,54.4,22.5,62.1,77.9
171,b1ade27b-b0d2-4b88-83c7-d5e9d58986d1,0.807122,592,3939980,00:21:46.087,63.8,77.9,67.3,77.1
172,e2573adb-7776-40b7-b2f4-36febf2ee8c0,1.655556,595,3939980,00:21:51.391,81.2,64.1,70.0,31.8
173,14bd4907-ab50-44d7-92e0-c32fe5aed139,1.639089,598,3939980,00:21:53.847,72.2,32.1,81.8,14.0
174,8a90bfa6-18ce-4e76-961a-f70de502a377,1.26994,601,3939980,00:21:55.886,81.8,12.6,73.0,24.9
175,00b5a111-7e2f-47c0-b8f4-2b329db4a0db,0.989724,604,3939980,00:22:01.279,75.2,31.6,86.5,22.3
176,faffd42d-2ba9-4376-904d-6655bcf04c47,1.243582,607,3939980,00:22:03.280,88.6,21.5,100.9,5.8
177,d335e12d-839d-4db7-8d20-b0f03b52eb85,0.720285,610,3939980,00:22:05.494,100.9,5.8,87.5,6.1
178,06f40c87-ca34-410d-b908-b0315c12647f,1.138291,613,3939980,00:22:06.614,86.4,5.3,82.0,22.8
179,5cfa9abf-e7be-4ba3-98b8-5aad748371d3,2.736478,616,3939980,00:22:09.836,80.9,27.5,103.9,77.5
180,224e69e8-7aa2-4cd5-bb37-8451fb8490a8,1.254851,619,3939980,00:22:17.485,99.6,56.5,94.7,40.0
184,f6702454-f145-459c-b58e-033907236aae,1.396423,640,3939980,00:23:04.310,68.7,78.1,49.8,59.0
185,919e4d7b-eb3f-478f-ab49-4fe958d646f6,1.311761,643,3939980,00:23:07.034,49.7,58.0,51.1,31.5
186,da66e150-2ba1-4133-ba9e-638f4936c6b6,0.728895,646,3939980,00:23:10.442,50.5,30.7,57.1,14.0
187,8744e849-1635-402c-a279-0992e8fd360f,1.912324,649,3939980,00:23:11.961,57.1,14.3,44.5,45.2
188,13608847-165c-466c-8373-a56de9ccd579,1.603241,652,3939980,00:23:17.411,44.8,39.0,53.3,13.3
189,4b761fb6-3b47-4f20-a511-fa287644321a,0.733477,655,3939980,00:23:23.495,66.8,6.1,57.8,20.1
190,ab43daaf-d30b-4696-a863-53b34a7d5461,1.191001,658,3939980,00:23:26.553,53.4,21.1,38.8,42.2
191,03046581-55d2-40fd-a0fb-919c55279284,1.877032,661,3939980,00:23:33.423,41.6,22.8,64.2,9.7
193,a743484d-cac7-4a49-8491-cfb428a72444,3.330423,677,3939980,00:24:49.553,16.1,25.4,82.3,22.3
197,206613fd-9e9d-4c21-be61-9b3179fa4150,0.888894,696,3939980,00:25:06.203,82.3,4.7,79.9,20.9
198,ee7919d8-1b88-4c00-a0cf-b94bc3638934,1.293028,699,3939980,00:25:07.092,79.8,19.8,89.9,16.3
199,b95168f6-1bc0-4cbb-8172-2674c4f2c8d7,1.255132,701,3939980,00:25:08.385,89.9,14.9,87.8,28.8
207,af5b9aa2-df56-4db9-b02f-28a261f0b1e1,1.446604,729,3939980,00:26:08.823,42.4,0.1,65.0,3.3
217,45452e52-b0e9-479c-beaa-3e2018bd5bd1,4.491691,793,3939980,00:28:25.877,2.4,75.6,79.6,72.1
223,7beb25ae-5be3-4940-83b8-5972b548bf0e,3.272114,817,3939980,00:29:36.440,4.2,37.6,27.8,77.1
224,89d80be8-d4e1-4e7a-8011-feb66e8b214d,6.845653,819,3939980,00:29:39.906,31.7,77.9,118.8,67.5
225,e43ce5a5-fdf3-42de-aa47-55bd2e1d990c,2.958719,825,3939980,00:29:48.742,2.9,8.8,58.1,1.5
226,b7b2f867-c14f-47e7-b6ee-8da722286832,3.967541,827,3939980,00:29:55.300,29.5,45.6,39.4,28.5
227,6e4e62b1-e04d-4f82-a0e9-64e5d2d39966,0.919895,831,3939980,00:30:00.236,78.2,58.1,71.4,61.6
228,58f4d535-4cdb-4242-b41f-5e1f049a3dfc,0.034698,835,3939980,00:30:01.280,69.5,61.7,69.4,62.8
230,b466a718-ed65-4d87-958c-8dfa0d7aa1c1,1.236377,850,3939980,00:30:17.925,43.8,65.8,50.0,49.0
231,48f9b1a8-e2ab-4316-80d6-bdac96d24b31,0.728012,855,3939980,00:30:20.801,54.9,51.8,62.9,65.5
232,8171d4be-906c-4906-9332-4ebd08ba06b2,1.539406,858,3939980,00:30:23.057,69.5,64.6,96.9,62.4
233,300509b2-a552-465b-9c7e-85ea2c51345f,1.307497,861,3939980,00:30:27.524,104.8,61.1,113.8,54.5
234,0e5b3a85-b02a-4acf-a9f4-7747a8e06d00,0.820338,867,3939980,00:31:06.083,120.0,80.0,118.0,49.1
244,e9e26c08-e93c-4d76-9c6b-cc3e238f9a19,1.130943,901,3939980,00:32:18.801,10.9,46.4,15.3,57.3
245,600b37b9-6c82-4a3b-897c-8897c29f4a8c,1.11825,904,3939980,00:32:20.980,21.9,60.0,37.9,58.1
246,90263d8e-c7fd-4db9-9704-021460839bd7,1.777781,906,3939980,00:32:22.098,38.0,56.2,54.1,76.1
257,64ccae53-52a3-4cb9-8d51-6e083bede285,0.599035,950,3939980,00:33:30.800,16.0,29.3,23.7,23.7
258,53f2d728-93ba-4651-a115-d7a589c626fb,0.732357,952,3939980,00:33:31.399,24.5,25.5,20.1,28.0
259,5646d0c1-0116-4150-9ed5-c00aa1b591d9,3.4473,954,3939980,00:33:32.131,22.1,25.3,65.1,23.1
270,19923381-b2b9-4ba3-a4b9-1d7c90d9468d,1.094054,986,3939980,00:35:17.458,45.6,80.0,57.6,77.9
271,e0340c41-1df5-49fc-9e41-06afb96abfac,0.284859,990,3939980,00:35:19.478,57.6,77.9,55.6,77.3
272,b83f8746-df10-4918-a7e0-9a0d7ca1fcc5,0.885814,996,3939980,00:35:21.484,57.4,71.5,68.4,72.1
273,38729129-a743-4326-9a85-c4cbd86c17bc,1.886542,1004,3939980,00:35:28.877,96.1,28.8,111.9,14.1
274,8897be00-1869-432f-b226-7a7c04ef0946,1.916576,1011,3939980,00:36:08.934,120.0,80.0,107.9,33.1
278,576057e4-4f60-408c-9bb5-2da9f9d77697,0.586887,1031,3939980,00:37:57.858,66.2,46.4,66.5,37.0
279,5fd9b73f-f318-4a93-8012-09c81772a4b4,0.478195,1034,3939980,00:37:58.783,67.3,35.3,64.3,46.6
280,a4d5c4f0-ef00-4f70-afac-adaf61c409a1,0.705841,1036,3939980,00:37:59.261,64.3,46.6,58.4,34.3
281,04740a0b-02a2-4e67-9dde-c48fae63a430,1.535775,1040,3939980,00:38:00.808,62.1,34.5,65.1,8.0
282,c8adec38-a6a7-4e9c-9e34-1198881880c1,1.025454,1043,3939980,00:38:03.342,64.8,5.0,70.3,18.3
283,6f69c0f9-c984-4778-9729-d501ed4353c7,2.138927,1048,3939980,00:39:52.572,71.8,7.1,51.2,48.6
